Original Answer,Answer Special Characters Removed,AI answer,Best Answer,completion_tokens,prompt_tokens,prompt_cost,completion_cost,total_tokens,total_cost,duration,response,Question Number,Law Category,Right Answer,Model,AI Platform,Correct,Timestamp
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,512,331,0.00024825,0.0012288,843,0.00147705,55.65060735,Redacted because this includes the response which shows the NCBE question.,1,Civil Procedure,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,B,B,455,308,0.000231,0.001092,763,0.001323,50.44266868,Redacted because this includes the response which shows the NCBE question.,9,Civil Procedure,B,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,352,216,0.000162,0.0008448,568,0.0010068,51.79384375,Redacted because this includes the response which shows the NCBE question.,23,Civil Procedure,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,509,251,0.00018825,0.0012216,760,0.00140985,73.27878141,Redacted because this includes the response which shows the NCBE question.,24,Civil Procedure,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,B,B,429,207,0.00015525,0.0010296,636,0.00118485,61.39594746,Redacted because this includes the response which shows the NCBE question.,32,Constitutional Law,B,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,492,231,0.00017325,0.0011808,723,0.00135405,72.35436678,Redacted because this includes the response which shows the NCBE question.,36,Constitutional Law,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,464,242,0.0001815,0.0011136,706,0.0012951,74.52686429,Redacted because this includes the response which shows the NCBE question.,37,Constitutional Law,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,385,283,0.00021225,0.000924,668,0.00113625,53.94586492,Redacted because this includes the response which shows the NCBE question.,38,Constitutional Law,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,495,370,0.0002775,0.001188,865,0.0014655,78.4096458,Redacted because this includes the response which shows the NCBE question.,45,Constitutional Law,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,B,B,358,256,0.000192,0.0008592,614,0.0010512,53.87143087,Redacted because this includes the response which shows the NCBE question.,49,Constitutional Law,B,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,495,297,0.00022275,0.001188,792,0.00141075,74.55767107,Redacted because this includes the response which shows the NCBE question.,79,Contracts,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,506,229,0.00017175,0.0012144,735,0.00138615,72.1778791,Redacted because this includes the response which shows the NCBE question.,85,Contracts,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,362,223,0.00016725,0.0008688,585,0.00103605,54.24238896,Redacted because this includes the response which shows the NCBE question.,96,Criminal Law/Prosecution,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,C,C,512,252,0.000189,0.0012288,764,0.0014178,70.48499131,Redacted because this includes the response which shows the NCBE question.,102,Criminal Law/Prosecution,C,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,B,B,444,286,0.0002145,0.0010656,730,0.0012801,55.20861268,Redacted because this includes the response which shows the NCBE question.,109,Criminal Law/Prosecution,B,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,C,C,274,239,0.00017925,0.0006576,513,0.00083685,31.05172539,Redacted because this includes the response which shows the NCBE question.,115,Criminal Law/Prosecution,C,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,431,195,0.00014625,0.0010344,626,0.00118065,52.27703619,Redacted because this includes the response which shows the NCBE question.,116,Criminal Law/Prosecution,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,C,C,503,182,0.0001365,0.0012072,685,0.0013437,84.04862452,Redacted because this includes the response which shows the NCBE question.,118,Criminal Law/Prosecution,C,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,B,B,820,243,0.00018225,0.001968,1063,0.00215025,101.6134055,Redacted because this includes the response which shows the NCBE question.,122,Evidence,B,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,B,B,623,247,0.00018525,0.0014952,870,0.00168045,79.03327799,Redacted because this includes the response which shows the NCBE question.,123,Evidence,B,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,856,215,0.00016125,0.0020544,1071,0.00221565,118.7013221,Redacted because this includes the response which shows the NCBE question.,124,Evidence,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,832,240,0.00018,0.0019968,1072,0.0021768,101.9719207,Redacted because this includes the response which shows the NCBE question.,2,Civil Procedure,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,756,208,0.000156,0.0018144,964,0.0019704,112.3665202,Redacted because this includes the response which shows the NCBE question.,3,Civil Procedure,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,630,187,0.00014025,0.001512,817,0.00165225,77.32099342,Redacted because this includes the response which shows the NCBE question.,4,Civil Procedure,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,C,C,833,203,0.00015225,0.0019992,1036,0.00215145,117.503423,Redacted because this includes the response which shows the NCBE question.,5,Civil Procedure,C,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,1846,322,0.0002415,0.0044304,2168,0.0046719,217.5932288,Redacted because this includes the response which shows the NCBE question.,6,Civil Procedure,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,1127,232,0.000174,0.0027048,1359,0.0028788,137.8240633,Redacted because this includes the response which shows the NCBE question.,7,Civil Procedure,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,582,285,0.00021375,0.0013968,867,0.00161055,71.37874317,Redacted because this includes the response which shows the NCBE question.,8,Civil Procedure,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,2746,326,0.0002445,0.0065904,3072,0.0068349,334.1975908,Redacted because this includes the response which shows the NCBE question.,10,Civil Procedure,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,C,C,603,278,0.0002085,0.0014472,881,0.0016557,70.37995815,Redacted because this includes the response which shows the NCBE question.,11,Civil Procedure,C,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,D,D,3093,263,0.00019725,0.0074232,3356,0.00762045,442.9129107,Redacted because this includes the response which shows the NCBE question.,12,Civil Procedure,D,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,1197,267,0.00020025,0.0028728,1464,0.00307305,148.5718708,Redacted because this includes the response which shows the NCBE question.,13,Civil Procedure,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,A,A,1526,353,0.00026475,0.0036624,1879,0.00392715,209.1151195,Redacted because this includes the response which shows the NCBE question.,14,Civil Procedure,A,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,C,C,921,210,0.0001575,0.0022104,1131,0.0023679,131.9662349,Redacted because this includes the response which shows the NCBE question.,15,Civil Procedure,C,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,B,B,1292,302,0.0002265,0.0031008,1594,0.0033273,152.1504922,Redacted because this includes the response which shows the NCBE question.,16,Civil Procedure,B,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
Redacted because thinking shows the question.,Redacted because thinking shows the question.,C,C,1388,359,0.00026925,0.0033312,1747,0.00360045,175.3918309,Redacted because this includes the response which shows the NCBE question.,17,Civil Procedure,C,DeepSeek-R1,DeepSeek,TRUE,2/3/2025
